t,totalmass,massrate
0.01,0,0
0.02,0,0
0.03,0,0
0.04,0,0
0.05,0,0
0.06,0,0
0.07,0,0
0.08,0,0
0.09,0,0
0.1,0,0
0.11,0,0
0.12,0,0
0.13,0,0
0.14,0,0
0.15,0,0
0.16,0,0
0.17,0,0
0.18,0.126886692140039,12.6886692140042
0.19,0.33851454534398,21.1627853203947
0.2,0.596704114169416,25.8189568825442
0.21,0.903619575612519,30.691546144311
0.22,1.15694603608394,25.3326460471426
0.23,1.32668261777718,16.9736581693243
0.24,1.43021498994162,10.3532372164441
0.25,1.49653056432232,6.63155743807023
0.26,1.5440511576913,4.75205933689829
0.27,1.57034649093929,2.62953332479938
0.28,1.65920454748842,8.88580565491334
0.29,1.72348188168822,6.42773341997948
0.3,1.80467588640436,8.11940047161407
0.31,1.9118863397432,10.7210453338848
0.32,2.01598138036723,10.4095040624036
0.33,2.0711241309651,5.51427505978625
0.34,2.17638084375007,10.525671278498
0.35,2.31466909945294,13.8288255702865
0.36,2.39443008720521,7.97609877522755
0.37,2.4888316456789,9.44015584736931
0.38,2.57006846485748,8.12368191785794
0.39,2.6836601530291,11.3591688171622
0.4,2.79812845948616,11.4468306457067
0.41,2.88503501564643,8.69065561602687
0.42,3.02819141965568,14.3156404009256
0.43,3.10508081411787,7.68893944621896
0.44,3.17438780632125,6.93069922033839
0.45,3.23303866871562,5.86508623943712
0.46,3.32660091426943,9.35622455538119
0.47,3.38238084352705,5.57799292576222
0.48,3.42814804115111,4.57671976240641
0.49,3.4664533212023,3.83052800511923
0.5,3.50635022759622,3.98969063939184
0.51,3.53200435256828,2.56541249720572
0.52,3.55534578279866,2.33414302303828
0.53,3.57038817243581,1.50423896371493
0.54,3.59253352545802,2.21453530222116
0.55,3.61048787324318,1.79543477851647
0.56,3.62776375765233,1.72758844091474
0.57,3.64472171288494,1.69579552326042
0.58,3.65178365125873,0.706193837379593
0.59,3.69128031874858,3.94966674898512
0.6,3.71158864599168,2.03083272430967
0.61,3.72527410887679,1.36854628851147
0.62,3.74789890077275,2.26247918959551
0.63,3.76385980329945,1.59609025267068
0.64,3.80175949452373,3.78996912242764
0.65,3.80814296952151,0.638347499777862
0.66,3.81544495740884,0.730198788733611
0.67,3.81712047349076,0.167551608191467
0.68,3.83287858160401,1.57581081132489
0.69,3.83850505340943,0.562647180542144
0.7,3.87329376198341,3.47887085739872
0.71,3.89140584955459,1.81120875711809
0.72,3.89140584955459,0
0.73,3.89140584955459,0
0.74,3.94522515858932,5.38193090347256
0.75,3.95320560985267,0.798045126335342
0.76,3.95320560985267,0
0.77,3.95647810220016,0.327249234748946
0.78,3.95647810220016,0
0.79,3.9755087026609,1.90306004607384
0.8,3.9755087026609,0
0.81,3.98113517446632,0.562647180542144
0.82,3.98113517446632,0
0.83,3.98348915392425,0.235397945793198
0.84,3.99055109229805,0.706193837379593
0.85,3.99617756410347,0.562647180542144
0.86,3.9985315435614,0.235397945793198
0.87,4.02115256554617,2.26210219847714
0.88,4.0235065450041,0.235397945793198
0.89,4.02586052446204,0.235397945793198
0.9,4.02586052446204,0
0.91,4.02821450391997,0.235397945793198
0.92,4.0305684833779,0.235397945793198
0.93,4.0305684833779,0
0.94,4.03292246283583,0.235397945793198
0.95,4.03527644229376,0.235397945793198
0.96,4.05103455040701,1.57581081132484
0.97,4.05338852986494,0.235397945793198
0.98,4.05741802540479,0.402949553984665
0.99,4.07082215406011,1.34041286553165
1,4.07553011297597,0.470795891586395
1.01,4.07553011297597,0
1.02,4.1016226518105,2.60925388345334
1.03,4.10960310307386,0.798045126335297
1.04,4.10960310307386,0
1.05,4.11522957487928,0.5626471805421
1.06,4.11522957487928,0
1.07,4.11522957487928,0
1.08,4.11758355433721,0.235397945793198
1.09,4.11758355433721,0
1.1,4.11758355433721,0
1.11,4.12229151325307,0.470795891586395
1.12,4.12229151325307,0
1.13,4.124645492711,0.235397945793198
1.14,4.124645492711,0
1.15,4.12699947216894,0.235397945793198
1.16,4.12699947216894,0
