time,Fx,Fy,Fz
0.01,0,0,0
0.02,0,0,0
0.03,0,0,0
0.04,0,0,0
0.05,0,0,0
0.06,0,0,0
0.07,0,0,0
0.08,0,0,0
0.09,0,0,0
0.1,0,0,0
0.11,0,0,0
0.12,0,0,0
0.13,0,0,0
0.14,0,0,0
0.15,0,0,0
0.16,0,0,0
0.17,0,0,0
0.18,0.942825859813147,15.4408745825082,-68.0930123580048
0.19,0.55805195198983,24.7124161136387,-43.7011776490942
0.2,3.75864486071859,-7.22028754352651,-40.3470430147581
0.21,-14.022934851362,-47.1279589564399,-124.760833853098
0.22,5.75471663696063,-70.6521796573436,-139.358813613432
0.23,4.61072192548994,-71.4011726908606,-144.598714650456
0.24,4.10573039652609,-64.1319816269602,-98.2322366256602
0.25,-4.73018088443528,-63.3993104361728,-116.018243946445
0.26,1.75880711863611,-89.6181312846836,-122.342583024892
0.27,1.75171602322058,-76.3736779305718,-109.025679238582
0.28,1.18760089924056,-54.3444348413403,-82.9075825958243
0.29,-0.391997523978956,-59.5712458633922,-119.355890420448
0.3,4.78753257891773,-70.8905913382355,-110.5727685036
0.31,-2.19222945285596,-65.3187045467785,-115.70288244176
0.32,-1.50172280268812,-83.7829780741373,-132.1954484412
0.33,5.76298562742097,-78.8495763926705,-97.5235106212862
0.34,-6.72439156715907,-51.9441802725423,-91.6525993945732
0.35,3.53020345777717,-69.9936799148858,-112.876682112037
0.36,0.667779762885498,-87.4652583034484,-137.092720855807
0.37,7.28643262040488,-69.5549186705332,-119.884301639976
0.38,1.09461019063201,-72.8104889161896,-139.730337436364
0.39,3.75481350773178,-79.4883564188643,-148.993234620806
0.4,6.81095133915939,-78.6906468088244,-122.869440012262
0.41,4.21708919653567,-73.8997589435561,-106.722006072461
0.42,8.27401179893407,-82.6463364640977,-162.906679456054
0.43,17.7399662513637,-70.9227947746397,-127.215443823542
0.44,8.1106650179898,-50.9381965630229,-88.9627805822742
0.45,4.33871852349339,-21.4295797969536,-55.2513825897238
0.46,4.8351186764479,-79.3595847701999,-162.159357808684
0.47,1.10656384020653,-89.0468612848344,-176.000351928209
0.48,1.32541301406142,-63.2617981436978,-120.121233941084
0.49,9.27865536464248,-71.8159609494386,-141.301018563591
0.5,1.24845259635576,-82.623231123335,-150.326630419541
0.51,3.64093979552383,-85.9417303788926,-152.545326993313
0.52,12.2987453894124,-69.9284643233864,-127.482513887988
0.53,4.69316174087607,-80.0082671377992,-162.386639971384
0.54,2.7291012336045,-83.5877723190919,-174.782945857584
0.55,-1.25135527058314,-76.5863791579362,-162.691302261516
